word	count
Rabbit’s	3
is!”	3
Her	3
sea,	3
general	3
high.	3
That	3
_will_	3
mouse	3
nothing.	3
“Perhaps	3
French	3
William	3
notion	3
angry	3
show	3
thing,”	3
fire,	3
she’s	3
“As	3
oh,	3
throw	3
“Let	3
animals	3
Dodo,	3
Lory	3
natural	3
Lory,	3
important	3
“Did	3
did,”	3
him:	3
over!”	3
pressed	3
pointing	3
confused	3
handed	3
round.	3
grave	3
solemn	3
noise	3
choked	3
certainly,”	3
speaking,	3
met	3
judge,	3
of?”	3
angrily.	3
away.	3
pleaded	3
easily	3
reply.	3
“Please	3
do!”	3
“Hold	3
nobody	3
venture	3
eagerly,	3
carefully,	3
suit	3
children,	3
away,	3
mentioned	3
executed,	3
Where	3
guessed	3
hunting	3
vanished	3
Mary	3
_are_	3
doing	3
now!”	3
real	3
they’d	3
stop	3
By	3
interesting	3
middle	3
me,	3
answered	3
stopped	3
forgetting	3
shriek	3
“Sure,	3
that.”	3
silence	3
sounds	3
hearing	3
Bill’s	3
’em	3
Bill!	3
loud	3
Bill,	3
above	3
confusion	3
did,	3
If	3
moving	3
_what?_”	3
face.	3
wood.	3
difficulty	3
picked	3
run	3
appeared	3
breath,	3
liked	3
edge	3
mushroom,	3
immediately	3
“because	3
politely,	3
brought	3
“Is	3
old,	3
youth,”	3
old,”	3
youth,	3
Yet	3
right,”	3
right,	3
decidedly,	3
replied;	3
angrily,	3
twice,	3
question.	3
green	3
shaking	3
head,	3
succeeded	3
indignantly.	3
her;	3
tree	3
day.	3
girls	3
eggs,	3
silent	3
settled	3
nibbling	3
bringing	3
footman	3
considered	3
letter,	3
saying,	3
Duchess.	3
little,	3
bowed	3
gone,	3
staring	3
howling	3
dish	3
in?”	3
instance,	3
nose,	3
so.	3
repeating	3
like,”	3
nursing	3
baby,	3
ear.	3
hours	3
tossing	3
caught	3
proper	3
grunted	3
less	3
mad.”	3
be,”	3
tail	3
often	3
“Very	3
table.	3
“Have	3
asking	3
shoulder	3
curiosity.	3
o’clock	3
remark	3
was,”	3
_he_	3
sing	3
twinkle,	3
one,”	3
lived	3
tea,”	3
“so	3
remark.	3
Five,	3
Seven	3
none	3
watching	3
checked	3
instantly	3
eager	3
added,	3
needn’t	3
“we	3
unfortunate	3
began.	3
said—”	3
tucked	3
appeared,	3
all,”	3
executioner	3
arches	3
“When	3
is.”	3
Duchess’s	3
hers	3
frowning	3
All	3
“Thank	3
_must_	3
sea.	3
“Yes,”	3
said:	3
Gryphon:	3
Turtle:	3
lobsters,	3
lobsters	3
whiting	3
eagerly	3
tails	3
obliged	3
Panther	3
e—e—evening,	3
Beautiful,	3
trial’s	3
tarts	3
King;	3
jurors	3
yet,	3
tarts,	3
verdict,”	3
teacup	3
Dormouse.	3
down,”	3
wrote	3
“Give	3
evidence,”	3
court.	3
officers	3
twinkling	3
suppressed	3
cook.	3
evidence	3
shrill	3
“Nothing	3
(The	3
verses	3
knee,	3
Adventures	2
Wonderland	2
I.	2
Down	2
Rabbit-Hole	2
II.	2
Pool	2
Tears	2
III.	2
Caucus-Race	2
Long	2
Tale	2
IV.	2
Sends	2
Little	2
V.	2
Advice	2
VI.	2
Pig	2
Pepper	2
VII.	2
Mad	2
Tea-Party	2
VIII.	2
Croquet-Ground	2
IX.	2
Story	2
X.	2
XI.	2
Stole	2
Tarts?	2
XII.	2
Evidence	2
bank,	2
book,”	2
(as	2
pleasure	2
picking	2
remarkable	2
nor	2
“Oh	2
occurred	2
started	2
curiosity,	2
rabbit-hole	2
straight	2
dipped	2
falling	2
well.	2
deep,	2
slowly,	2
anything;	2
cupboards	2
jar	2
tumbling	2
(Which	2
Down,	2
down.	2
_never_	2
earth.	2
thousand	2
learnt	2
showing	2
Latitude	2
Longitude	2
either,	2
grand	2
Presently	2
listening,	2
she’ll	2
afraid,	2
for,	2
thump!	2
leaves,	2
over.	2
passage,	2
wind,	2
corner,	2
longer	2
row	2
doors	2
sadly	2
three-legged	2
alas!	2
them.	2
longed	2
flowers	2
cool	2
shutting	2
Alice,)	2
“DRINK	2
ME,”	2
beautifully	2
wise	2
first,”	2
wild	2
unpleasant	2
things,	2
friends	2
as,	2
burn	2
usually	2
“poison,”	2
certain	2
sooner	2
taste	2
mixed	2
brightened	2
lovely	2
this;	2
altogether,	2
candle	2
happened,	2
glass,	2
cried.	2
crying	2
it),	2
bring	2
playing	2
_one_	2
cake,	2
bit,	2
holding	2
sure,	2
happens	2
dull	2
life	2
forgot	2
myself	2
sending	2
presents	2
struck	2
fact	2
door.	2
eye;	2
ashamed	2
“a	2
same,	2
coming.	2
trotting	2
came,	2
“Oh!	2
one;	2
violently,	2
yesterday	2
usual.	2
age	2
all;	2
Mabel,	2
oh!	2
knows	2
_I’m_	2
and—oh	2
six	2
wrong,	2
lap	2
hoarse	2
neatly	2
With	2
smiling	2
learn!	2
here!	2
down!	2
alone	2
talking.	2
thought.	2
again.”	2
cause	2
change,	2
worse	2
ever,”	2
salt	2
life,	2
wherever	2
digging	2
much!”	2
out.	2
splashing	2
was:	2
slipped	2
use,	2
rate,	2
swimming	2
speaking	2
wink	2
clear	2
hurt	2
shrill,	2
me?”	2
“don’t	2
quiet	2
pool,	2
nicely	2
paws	2
catching	2
over,	2
not.”	2
tail.	2
subject	2
dog	2
you!	2
them—and	2
belongs	2
useful,	2
sorrowful	2
went.	2
pale	2
passion,	2
shore,	2
assembled	2
fur	2
uncomfortable.	2
life.	2
older	2
knowing	2
age,	2
person	2
authority	2
ring,	2
“are	2
whose	2
Morcar,	2
earls	2
Mercia	2
I!”	2
Mouse.	2
archbishop	2
“Found	2
‘it’	2
means	2
enough,	2
hurriedly	2
meet	2
offer	2
continued,	2
all.”	2
move	2
“Speak	2
what’s	2
speak,	2
“Why,”	2
it.)	2
First	2
there.	2
“One,	2
liked,	2
easy	2
race	2
hour	2
panting,	2
forehead	2
position	2
chorus	2
voices	2
pocket,	2
water	2
“Only	2
sadly.	2
solemnly	2
thimble,	2
simply	2
caused	2
confusion,	2
back.	2
sad	2
this:—	2
wasting	2
‘I’ll	2
think?”	2
nonsense!”	2
know!”	2
story!”	2
joined	2
impatiently,	2
“Ah,	2
back!”	2
Some	2
“Nobody	2
lonely	2
mind,	2
went,	2
nowhere	2
Ann,	2
here?	2
direction	2
mistake	2
them.”	2
plate	2
messages	2
think,”	2
ordering	2
drunk	2
bottle,	2
that!	2
elbow	2
curled	2
chimney,	2
“when	2
ordered	2
fancied	2
tone;	2
“at	2
listen.	2
trembled	2
proved	2
“_That_	2
won’t!”	2
snatch	2
concluded	2
Next	2
apples,	2
honour!”	2
“Here!	2
business	2
away!”	2
next!	2
words:	2
together	2
enough;	2
master	2
